no,alamat,km_awal,m_awal,km_akhir,m_akhir,lat,long,posisi,panjang,lebar,tinggi,jenis_kerusakan,tingkat_kerusakan,tanggal,,
1,Cerenti (Batas Inhu) - Air Molek,0,0,0,5,-0.504487448117434,101.911972941917,Seluruh Jalan,5,5.5,0.25,Lubang (Potholes), sedang,2024-08-12,,
2,Cerenti (Batas Inhu) - Air Molek,0,40,0,46,-0.504664316859797,101.912316840034,Kiri Jalan,6,2.5,0.25,Lubang (Potholes), sedang,2024-08-12,,
3,Cerenti (Batas Inhu) - Air Molek,0,100,0,106,-0.505013729165984,101.912742084725,Seluruh Jalan,6,3.1,0.25,Lubang (Potholes), sedang,2024-08-12,,
4,Cerenti (Batas Inhu) - Air Molek,0,120,0,139,-0.505159041992557,101.912823426188,Kanan Jalan,19,5.5,0.24,Lubang (Potholes), sedang,2024-08-12,,
5,Cerenti (Batas Inhu) - Air Molek,0,150,0,166,-0.505263692595975,101.913050177977,Seluruh Jalan,16,5.5,0.25,Lubang (Potholes), sedang,2024-08-12,,
6,Cerenti (Batas Inhu) - Air Molek,0,180,0,187,-0.505432296342365,101.913306000509,Kiri Jalan,7,2,0.25,Lubang (Potholes), ringan,2024-08-19,,
7,Cerenti (Batas Inhu) - Air Molek,0,200,0,210,-0.505589272240247,101.913416469329,Seluruh Jalan,10,2,0.3,Alur (Rutting), ringan,2024-08-29,,
8,Cerenti (Batas Inhu) - Air Molek,41,600,41,605,-0.403344590394449,102.195455036533,Kiri Jalan,5,2.3,0.06,Retak Buaya, sedang,2024-08-29,,
9,Cerenti (Batas Inhu) - Air Molek,45,650,45,655,-0.387362389169085,102.220721849826,Seluruh Jalan,5,2,0.02,Retak Memanjang, berat,2024-08-26,,
10,Cerenti (Batas Inhu) - Air Molek,44,285,44,294,-0.396646712910958,102.216457898853,Kiri Jalan,9,3.8,0.25,Lubang (Potholes), ringan,2024-08-29,,
11,Cerenti (Batas Inhu) - Air Molek,45,180,45,182,-0.392500825529125,102.220710725984,Kiri Jalan,2,1.1,0.2,Lubang (Potholes), ringan,2024-08-26,,
12,Cerenti (Batas Inhu) - Air Molek,45,220,45,224,-0.391615945368761,102.220729688146,Kiri Jalan,4,1.2,0.2,Lubang (Potholes), ringan,2024-08-26,,
13,Cerenti (Batas Inhu) - Air Molek,45,490,45,493,-0.389125639217118,102.22068544311,Kiri Jalan,3,1.15,0.2,Lubang (Potholes), ringan,2024-08-26,,
14,Cerenti (Batas Inhu) - Air Molek,45,657,45,660,-0.38746964846255,102.220647518787,Kiri Jalan,3,2.4,0.2,Lubang (Potholes), ringan,2024-08-26,,
15,Cerenti (Batas Inhu) - Air Molek,46,288,46,293,-0.383528474977377,102.222273104877,Kiri Jalan,5,1.5,2,Lubang (Potholes), ringan,2024-08-26,,
